#OTU_ID	SAKR1	SAKR2
OTU_1568	0	0
OTU_96	5	7
OTU_287	6	3
OTU_23099	28	60
OTU_548	21	33
OTU_68906	0	0
OTU_16955	2	6
OTU_89	1	7
OTU_76	73	115
OTU_1050	0	0
OTU_894	2	1
OTU_428	3	0
OTU_42518	0	0
OTU_56943	0	2
OTU_15161	0	0
OTU_27408	4	1
OTU_48	56	70
OTU_47152	0	0
OTU_333	0	0
OTU_46289	14	27
OTU_1069	0	0
OTU_2319	0	1
OTU_35766	3	0
OTU_47	180	280
OTU_1694	14	21
OTU_36373	14	20
OTU_830	0	1
OTU_549	1	2
OTU_140	4	4
OTU_4991	4	5
OTU_71752	4	15
OTU_144	0	0
OTU_390	5	9
OTU_79356	0	0
OTU_42498	0	0
OTU_62074	0	0
OTU_49515	0	1
OTU_19968	0	0
OTU_827	1	1
OTU_20550	0	1
OTU_156	14	7
OTU_15	545	797
OTU_4	23	18
OTU_24648	0	0
OTU_539	0	0
OTU_1144	78	137
OTU_39657	121	174
OTU_759	17	10
OTU_2896	1	0
OTU_316	0	0
OTU_417	0	0
OTU_5	0	0
OTU_278	2	1
OTU_45360	0	0
OTU_33469	0	0
OTU_477	19	30
OTU_688	1	1
OTU_687	2	0
OTU_82435	0	0
OTU_4361	0	0
OTU_92823	0	0
OTU_92474	0	0
OTU_69565	121	77
OTU_762	15	27
OTU_510	0	0
OTU_754	0	0
OTU_335	1	3
OTU_32349	0	0
OTU_1163	7	2
OTU_84093	8	4
OTU_65836	3	3
OTU_30511	0	0
OTU_52063	0	0
OTU_234	89	94
OTU_2638	0	0
OTU_34354	0	0
OTU_15892	0	0
OTU_210	10	17
OTU_181	17	42
OTU_1014	68	131
OTU_426	10	8
OTU_1514	0	0
OTU_71899	0	2
OTU_421	0	0
OTU_90	7	4
OTU_26253	0	0
OTU_96555	18	21
OTU_223	12	11
OTU_146	3	8
OTU_197	23	27
OTU_18384	0	0
OTU_18280	0	0
OTU_1866	0	0
OTU_47772	21	28
OTU_7498	1	1
OTU_457	36	39
OTU_5123	16	15
OTU_15217	0	0
OTU_7417	12	15
OTU_315	36	59
OTU_28980	0	0
OTU_9385	0	0
OTU_53382	51	87
OTU_222	27	61
OTU_416	8	18
OTU_2780	0	0
OTU_1366	0	0
OTU_812	40	40
OTU_1664	0	1
OTU_29882	0	0
OTU_40723	1	0
OTU_16384	0	0
OTU_319	2	3
OTU_69131	0	0
OTU_30481	0	1
OTU_375	0	0
OTU_25	1580	1544
OTU_235	1	2
OTU_4694	0	0
OTU_5984	0	1
OTU_142	16	28
OTU_64055	1	0
OTU_44116	0	0
OTU_2020	0	0
OTU_75	195	295
OTU_325	11	18
OTU_865	2	2
OTU_84131	9	18
OTU_422	3	6
OTU_19	15	14
OTU_793	0	0
OTU_82120	1	3
OTU_60759	3	3
OTU_42864	3	0
OTU_40476	12	19
OTU_415	16	21
OTU_45398	0	0
OTU_1020	0	0
OTU_58756	1	2
OTU_107	274	402
OTU_77790	0	0
OTU_52592	0	0
OTU_40062	1	0
OTU_16260	0	0
OTU_1964	0	0
OTU_78846	0	0
OTU_469	0	0
OTU_893	2	1
OTU_27044	0	0
OTU_648	0	0
OTU_282	0	0
OTU_2953	2	3
OTU_21857	26	39
OTU_9630	2	3
OTU_20510	0	0
OTU_13644	0	0
OTU_60170	0	0
OTU_52455	0	0
OTU_672	35	65
OTU_304	0	0
OTU_159	8	13
OTU_92658	2	6
OTU_1359	2	4
OTU_1645	0	0
OTU_47418	0	0
OTU_122	9	12
OTU_1832	0	0
OTU_22705	0	1
OTU_1243	1	2
OTU_3296	2	0
OTU_70527	0	0
OTU_161	0	0
OTU_49275	0	0
OTU_42703	0	0
OTU_35955	12	7
OTU_74	1	5
OTU_55511	0	0
OTU_7978	0	0
OTU_36853	0	0
OTU_856	0	0
OTU_25431	5	13
OTU_88001	45	69
OTU_991	2	3
OTU_369	0	0
OTU_1179	0	0
OTU_227	39	68
OTU_57502	11	7
OTU_91305	2	0
OTU_26987	0	1
OTU_652	2	3
OTU_2634	0	0
OTU_137	16	25
OTU_734	3	13
OTU_251	9	11
OTU_4711	0	0
OTU_505	14	26
OTU_2261	2	3
OTU_1773	0	0
OTU_119	80	123
OTU_1355	0	0
OTU_11532	0	0
OTU_111	32	45
OTU_2018	1	4
OTU_3016	2	2
OTU_61598	20	31
OTU_57864	0	4
OTU_56916	0	1
OTU_502	36	65
OTU_696	0	0
OTU_256	6	5
OTU_13063	0	0
OTU_56834	0	0
OTU_655	0	0
OTU_569	2	1
OTU_3840	0	0
OTU_73	40	62
OTU_1411	0	0
OTU_3375	0	0
OTU_51123	2	1
OTU_76168	0	0
OTU_2928	0	0
OTU_912	1	0
OTU_233	0	0
OTU_38778	0	0
OTU_64726	0	0
OTU_1263	0	0
OTU_83772	2	3
OTU_570	14	23
OTU_374	16	12
OTU_1220	5	6
OTU_63638	1	0
OTU_707	0	0
OTU_69	96	110
OTU_627	0	1
OTU_5922	0	0
OTU_183	92	119
OTU_2909	0	0
OTU_90219	0	0
OTU_61136	0	1
OTU_33558	0	0
OTU_62743	0	3
OTU_1329	0	0
OTU_87557	0	0
OTU_877	4	8
OTU_719	11	18
OTU_2412	0	1
OTU_1907	0	0
OTU_62814	0	0
OTU_34699	2	1
OTU_19327	0	0
OTU_1268	2	2
OTU_24213	5	15
OTU_45541	0	0
OTU_96067	0	1
OTU_56861	0	0
OTU_1265	0	2
OTU_2734	0	0
OTU_35335	1	0
OTU_606	0	0
OTU_2854	0	0
OTU_45645	19	23
OTU_545	6	12
OTU_1122	4	6
OTU_18623	1	0
OTU_43822	0	0
OTU_94821	2	2
OTU_4215	0	0
OTU_2448	0	0
OTU_51577	0	0
OTU_1339	0	0
OTU_969	0	0
OTU_14351	0	0
OTU_31084	1	0
OTU_28876	0	0
OTU_21895	0	0
OTU_68897	2	1
OTU_66568	0	0
OTU_33702	10	19
OTU_297	1	2
OTU_60729	0	0
OTU_29318	0	0
OTU_441	38	48
OTU_36569	0	0
OTU_30855	7	7
OTU_3264	38	59
OTU_43384	0	0
OTU_701	0	0
OTU_340	34	38
OTU_93111	77	125
OTU_2021	2	1
OTU_87285	1	3
OTU_583	11	15
OTU_336	0	0
OTU_70187	3	1
OTU_93952	0	1
OTU_4959	0	0
OTU_89096	0	0
OTU_5041	0	0
OTU_2612	0	0
OTU_42806	0	0
OTU_11946	0	0
OTU_5255	0	0
OTU_284	7	5
OTU_439	13	15
OTU_1098	6	17
OTU_18	258	388
OTU_922	0	0
OTU_36919	0	0
OTU_86894	1	3
OTU_88	0	0
OTU_51724	0	0
OTU_3209	0	0
OTU_8637	0	0
OTU_155	12	10
OTU_29986	41	50
OTU_2090	0	0
OTU_211	0	0
OTU_127	4	9
OTU_3315	0	0
OTU_7593	0	0
OTU_79966	29	34
OTU_3569	0	0
OTU_98	83	149
OTU_481	32	70
OTU_590	0	0
OTU_78349	0	0
OTU_45047	0	2
OTU_52560	0	0
OTU_87313	0	0
OTU_85	21	41
OTU_213	0	0
OTU_1806	0	0
OTU_71489	1	1
OTU_3867	0	0
OTU_2762	0	0
OTU_57519	0	0
OTU_52302	0	0
OTU_950	0	0
OTU_1756	0	0
OTU_4559	0	0
OTU_72914	5	5
OTU_666	13	14
OTU_5007	0	0
OTU_527	2	0
OTU_6502	0	0
OTU_84168	0	0
OTU_1653	0	0
OTU_41166	0	0
OTU_1221	0	0
OTU_8425	0	0
OTU_408	0	0
OTU_255	41	56
OTU_17408	0	1
OTU_2064	0	0
OTU_964	0	0
OTU_11225	0	0
OTU_168	23	21
OTU_4747	0	0
OTU_783	0	1
OTU_267	21	25
OTU_59954	150	112
OTU_15299	3	6
OTU_85135	0	0
OTU_8694	0	0
OTU_678	0	0
OTU_1352	0	0
OTU_348	100	125
OTU_12442	106	98
OTU_35879	11	34
OTU_36688	14	11
OTU_86952	0	0
OTU_67226	0	0
OTU_53080	0	0
OTU_659	1	4
OTU_51	305	479
OTU_2834	0	0
OTU_77135	0	0
OTU_22432	71	74
OTU_43301	13	17
OTU_6833	0	0
OTU_1528	5	3
OTU_11251	0	0
OTU_18112	0	0
OTU_2347	0	2
OTU_90767	0	0
OTU_38809	37	79
OTU_1201	2	3
OTU_80	1	7
OTU_5752	0	0
OTU_1705	0	0
OTU_1540	3	0
OTU_876	10	21
OTU_34856	3	1
OTU_6140	0	0
OTU_277	55	70
OTU_2196	0	0
OTU_90132	3	2
OTU_35997	0	0
OTU_968	0	0
OTU_7553	0	0
OTU_691	2	0
OTU_31	301	211
OTU_5768	0	0
OTU_49112	1	1
OTU_1060	4	4
OTU_39314	173	240
OTU_64322	1	0
OTU_1740	2	1
OTU_461	0	0
OTU_907	6	16
OTU_3142	1	0
OTU_621	2	6
OTU_7680	0	0
OTU_19552	2	1
OTU_965	0	4
